eNodeB ID,eNodebName,小区号,长码(小区CI）,CellName,网络类型,longitude,LATITUDE,覆盖类型
1035501,安康旬阳力加-HLH-AKCO890TL,AKCO890TL-0,265088256,安康旬阳力加-HLH-AKCO890TL-0,lte,109.282222,32.745,宏站
1035501,安康旬阳力加-HLH-AKCO890TL,AKCO890TL-1,265088257,安康旬阳力加-HLH-AKCO890TL-1,lte,109.282222,32.745,宏站
1035501,安康旬阳力加-HLH-AKCO890TL,AKCO890TL-2,265088258,安康旬阳力加-HLH-AKCO890TL-2,lte,109.282222,32.745,宏站
1035100,安康旬阳力加直放站拉远-HLH-AKCO489TL,AKCO489TL-0,264985600,安康旬阳力加直放站拉远-HLH-AKCO489TL-0,lte,109.301111,32.756666,宏站
1035100,安康旬阳力加直放站拉远-HLH-AKCO489TL,AKCO489TL-1,264985601,安康旬阳力加直放站拉远-HLH-AKCO489TL-1,lte,109.301111,32.756666,宏站
1035100,安康旬阳力加直放站拉远-HLH-AKCO489TL,AKCO489TL-2,264985602,安康旬阳力加直放站拉远-HLH-AKCO489TL-2,lte,109.301111,32.756666,宏站
1035127,安康旬阳立石滩-HLH-AKCO516TL,AKCO516TL-0,264992512,安康旬阳立石滩-HLH-AKCO516TL-0,lte,109.1125,33.113055,宏站
1035127,安康旬阳立石滩-HLH-AKCO516TL,AKCO516TL-1,264992513,安康旬阳立石滩-HLH-AKCO516TL-1,lte,109.1125,33.113055,宏站
1035127,安康旬阳立石滩-HLH-AKCO516TL,AKCO516TL-2,264992514,安康旬阳立石滩-HLH-AKCO516TL-2,lte,109.1125,33.113055,宏站
1035701,安康旬阳两河关B-HLH-AKDO091TL,AKDO091TL-0,265139456,安康旬阳两河关B-HLH-AKDO091TL-0,lte,109.124166,33.0875,宏站
1035701,安康旬阳两河关B-HLH-AKDO091TL,AKDO091TL-1,265139457,安康旬阳两河关B-HLH-AKDO091TL-1,lte,109.124166,33.0875,宏站
1035701,安康旬阳两河关B-HLH-AKDO091TL,AKDO091TL-2,265139458,安康旬阳两河关B-HLH-AKDO091TL-2,lte,109.124166,33.0875,宏站
1035527,安康旬阳柳池村-HLH-AKCO916TL,AKCO916TL-0,265094912,安康旬阳柳池村-HLH-AKCO916TL-0,lte,109.081388,32.979166,宏站
1035527,安康旬阳柳池村-HLH-AKCO916TL,AKCO916TL-1,265094913,安康旬阳柳池村-HLH-AKCO916TL-1,lte,109.081388,32.979166,宏站
1035527,安康旬阳柳池村-HLH-AKCO916TL,AKCO916TL-2,265094914,安康旬阳柳池村-HLH-AKCO916TL-2,lte,109.081388,32.979166,宏站
1035415,安康旬阳龙池-HLH-AKCO804TL,AKCO804TL-0,265066240,安康旬阳龙池-HLH-AKCO804TL-0,lte,109.792777,32.874166,宏站
1035415,安康旬阳龙池-HLH-AKCO804TL,AKCO804TL-1,265066241,安康旬阳龙池-HLH-AKCO804TL-1,lte,109.792777,32.874166,宏站
1035415,安康旬阳龙池-HLH-AKCO804TL,AKCO804TL-2,265066242,安康旬阳龙池-HLH-AKCO804TL-2,lte,109.792777,32.874166,宏站
1035508,安康旬阳龙潭-HLH-AKCO897TL,AKCO897TL-0,265090048,安康旬阳龙潭-HLH-AKCO897TL-0,lte,109.756944,32.8675,宏站
1035508,安康旬阳龙潭-HLH-AKCO897TL,AKCO897TL-1,265090049,安康旬阳龙潭-HLH-AKCO897TL-1,lte,109.756944,32.8675,宏站
1035508,安康旬阳龙潭-HLH-AKCO897TL,AKCO897TL-2,265090050,安康旬阳龙潭-HLH-AKCO897TL-2,lte,109.756944,32.8675,宏站
1035306,安康旬阳楼房村-HLH-AKCO695TL,AKCO695TL-0,265038336,安康旬阳楼房村-HLH-AKCO695TL-0,lte,109.503888,32.533333,宏站
1035306,安康旬阳楼房村-HLH-AKCO695TL,AKCO695TL-1,265038337,安康旬阳楼房村-HLH-AKCO695TL-1,lte,109.503888,32.533333,宏站
1035306,安康旬阳楼房村-HLH-AKCO695TL,AKCO695TL-2,265038338,安康旬阳楼房村-HLH-AKCO695TL-2,lte,109.503888,32.533333,宏站
1035129,安康旬阳楼子坡-HLH-AKCO518TL,AKCO518TL-0,264993024,安康旬阳楼子坡-HLH-AKCO518TL-0,lte,109.284444,33.150277,宏站
1035129,安康旬阳楼子坡-HLH-AKCO518TL,AKCO518TL-1,264993025,安康旬阳楼子坡-HLH-AKCO518TL-1,lte,109.284444,33.150277,宏站
1035129,安康旬阳楼子坡-HLH-AKCO518TL,AKCO518TL-2,264993026,安康旬阳楼子坡-HLH-AKCO518TL-2,lte,109.284444,33.150277,宏站
1035582,安康旬阳吕河镇黑沟村-HLH-AKCO971TL,AKCO971TL-0,265108992,安康旬阳吕河镇黑沟村-HLH-AKCO971TL-0,lte,109.431388,32.710277,宏站
1035582,安康旬阳吕河镇黑沟村-HLH-AKCO971TL,AKCO971TL-1,265108993,安康旬阳吕河镇黑沟村-HLH-AKCO971TL-1,lte,109.431388,32.710277,宏站
1035582,安康旬阳吕河镇黑沟村-HLH-AKCO971TL,AKCO971TL-2,265108994,安康旬阳吕河镇黑沟村-HLH-AKCO971TL-2,lte,109.431388,32.710277,宏站
1035128,安康旬阳吕河镇吕河渡口-HLH-AKCO517TL,AKCO517TL-0,264992768,安康旬阳吕河镇吕河渡口-HLH-AKCO517TL-0,lte,109.3475,32.761111,宏站
1035128,安康旬阳吕河镇吕河渡口-HLH-AKCO517TL,AKCO517TL-1,264992769,安康旬阳吕河镇吕河渡口-HLH-AKCO517TL-1,lte,109.3475,32.761111,宏站
1035128,安康旬阳吕河镇吕河渡口-HLH-AKCO517TL,AKCO517TL-2,264992770,安康旬阳吕河镇吕河渡口-HLH-AKCO517TL-2,lte,109.3475,32.761111,宏站
1035707,安康旬阳麻衣庙-HLH-AKDO097TL,AKDO097TL-0,265140992,安康旬阳麻衣庙-HLH-AKDO097TL-0,lte,109.063333,33.036666,宏站
1035707,安康旬阳麻衣庙-HLH-AKDO097TL,AKDO097TL-1,265140993,安康旬阳麻衣庙-HLH-AKDO097TL-1,lte,109.063333,33.036666,宏站
1035707,安康旬阳麻衣庙-HLH-AKDO097TL,AKDO097TL-2,265140994,安康旬阳麻衣庙-HLH-AKDO097TL-2,lte,109.063333,33.036666,宏站
1035539,安康旬阳庙岭河-HLH-AKCO928TL,AKCO928TL-0,265097984,安康旬阳庙岭河-HLH-AKCO928TL-0,lte,109.372222,32.919722,宏站
1035539,安康旬阳庙岭河-HLH-AKCO928TL,AKCO928TL-1,265097985,安康旬阳庙岭河-HLH-AKCO928TL-1,lte,109.372222,32.919722,宏站
